업종,상호,시설주소(도로명),시설전화번호
수영장업,잠실실내수영장,"서울특별시 송파구 올림픽로 25 (잠실동, 종합운동장)",2240-8751(8780~1)
수영장업,롯데호텔 실내수영장,"서울특별시 송파구 올림픽로 240, 5층 (잠실동, 롯데호텔)",419-7000
수영장업,한강공원 잠실수영장,"서울특별시 송파구 한가람로 65 (잠실동, 한강사업본부 잠실안내센터)",
수영장업,아쿠아키즈,"서울특별시 송파구 삼전로 지하 95 (잠실동, 태성빌딩)",417-7845
수영장업,에이치투오 어린이수영장,서울특별시 송파구 오금로 233 (방이동),470-1415
수영장업,키즈마린 워터파크,서울특별시 송파구 삼전로 81 (잠실동),
수영장업,(주)스위스키즈베어,서울특별시 송파구 삼학사로 99 (삼전동),24177555
수영장업,더블유엘지 문정,"서울특별시 송파구 문정로 83 (문정동, 문정래미안아파트)",02-407-1888
수영장업,키즈웨일즈,서울특별시 송파구 동남로 207 (가락동),02-3012-0707
수영장업,엘에스(LS),"서울특별시 송파구 토성로 78 (풍납동, 정민빌딩)",
수영장업,킨더스윔,"서울특별시 송파구 양재대로72길 17 (오금동, 현대백조아파트)",02-403-6465
수영장업,비바스포츠센타,"서울특별시 송파구 오금로15길 5-12 (방이동, 정환빌딩)",
수영장업,블루라군,"서울특별시 송파구 동남로 189, 쌍용프라자 지하2층 (가락동)",24821001
체육도장업,용인대 태권도장,"서울특별시 송파구 한가람로16길 7, 205,206호 (풍납동)",
체육도장업,통일태권도장,서울특별시 송파구 올림픽로4길 40 (잠실동),423-1920
체육도장업,우일태권도장,서울특별시 송파구 토성로 38-4 (풍납동),475-5200
체육도장업,태비태권도,"서울특별시 송파구 양재대로 1222 (방이동, 올림픽프라자)",404-0600
체육도장업,올림픽검도교실(올림픽제1체육관스포츠교실),서울특별시 송파구 올림픽로 424 (방이동),410-1626
체육도장업,송무검도관,서울특별시 송파구 송파대로43길 16 (석촌동),424-1979
체육도장업,MTA 청목 태권도,"서울특별시 송파구 동남로18길 43 (가락동, 혜성빌딩)",
체육도장업,가동태권도,서울특별시 송파구 중대로20길 49 (가락동),404-6525
체육도장업,승민태권도체육도장,서울특별시 송파구 백제고분로22길 8 (삼전동),413-1416
체육도장업,월드태권도,"서울특별시 송파구 올림픽로35길 112 (신천동, 장미아파트 비상가)",414-2098
체육도장업,태권도상무체육관,"서울특별시 송파구 가락로11길 11, 2층 (석촌동)",413-7830
체육도장업,한국체대 탑 태권도장,서울특별시 송파구 올림픽로12길 54 (잠실동),
체육도장업,우일,서울특별시 송파구 토성로 38-6 (풍납동),475-9001
체육도장업,현무태권도체육관,"서울특별시 송파구 마천로57길 8, 3층 (마천동)",
체육도장업,단무태권도장,서울특별시 송파구 삼학사로12길 14 (석촌동),417-8512
체육도장업,원도태권도,서울특별시 송파구 풍성로 65 (풍납동),476-4141
체육도장업,쌍용태권도장,서울특별시 송파구 동남로 189 (가락동),409-0600
체육도장업,비호체육관,서울특별시 송파구 성내천로 305 (마천동),449-4452
체육도장업,왕호태권도장,"서울특별시 송파구 토성로 65 (풍납동, 태양상가)",
체육도장업,태권도대명체육관,서울특별시 송파구 잠실로 15 (잠실동),420-1596
체육도장업,상아태권도,"서울특별시 송파구 오금로 407, 208호 (오금동)",
체육도장업,용인대 방이태권도,"서울특별시 송파구 백제고분로50길 35 (방이동, 정원빌딩)",419-4189
체육도장업,양문체육관,서울특별시 송파구 새말로 142 (문정동),408-9236
체육도장업,잠실유도회관,서울특별시 송파구 올림픽로12길 54 (잠실동),424-0715
체육도장업,홍익체육관,"서울특별시 송파구 성내천로23길 22, 2층 (마천동)",449-1566
체육도장업,용사경희체육관,서울특별시 송파구 토성로 26 (풍납동),470-6740
체육도장업,STS한국체대태권도,서울특별시 송파구 중대로 24 (문정동),
체육도장업,서울태권도체육관,"서울특별시 송파구 송파대로32길 8, 정문 상가동 2층 (가락동, 가락우성아파트)",400-2008
체육도장업,대한태권도장,"서울특별시 송파구 백제고분로50길 43, 3층 303호 (방이동)",
체육도장업,태권도사관학교효체육관,서울특별시 송파구 성내천로 223 (마천동),400-5434
체육도장업,거원태권도장,"서울특별시 송파구 양산로4길 13, 5층 (거여동)",404-1888
체육도장업,태극무술원,서울특별시 송파구 올림픽로12길 25 (잠실동),
체육도장업,포올 태권도 운동발달 센터,"서울특별시 송파구 양재대로72길 17 (오금동, 현대백조아파트)",448-7983
체육도장업,문정태권도체육관,"서울특별시 송파구 송이로34길 61, 2층 (문정동)",
체육도장업,검도풍납본관,서울특별시 송파구 토성로15길 3-3 (풍납동),479-2844
체육도장업,아이캔태권도장,"서울특별시 송파구 송이로14길 3, 2층 (가락동)",
체육도장업,위너스 태권아카데미,"서울특별시 송파구 문정로 83 (문정동, 문정래미안아파트)",
체육도장업,경희체육관,서울특별시 송파구 백제고분로42길 16 (송파동),
체육도장업,캡틴 태권도,서울특별시 송파구 거마로9길 19 (거여동),400-5336
체육도장업,아이사랑체육관,서울특별시 송파구 동남로14길 15 (가락동),401-5338
체육도장업,삼전경희태권도,서울특별시 송파구 백제고분로28길 20 (삼전동),
체육도장업,운암검도교실,"서울특별시 송파구 중대로9길 50, 지하1층 (가락동)",431-1711
체육도장업,원도 체육관,"서울특별시 송파구 가락로 176, 2층 (송파동)",416-5333
체육도장업,경희 태권도,"서울특별시 송파구 오금로32길 28, 4층 (송파동)",416-1162
체육도장업,경희대 파란 태권도 체육관,"서울특별시 송파구 송파대로37길 30-1, 2층 (석촌동)",421-2003
체육도장업,경희대 우성 태권도장,서울특별시 송파구 백제고분로18길 26 (잠실동),424-2206
체육도장업,승관유도관,"서울특별시 송파구 송이로17길 50-28, 지하1층 (가락동)",400-8819
체육도장업,경희대 태권도 아이토리짐,"서울특별시 송파구 오금로57길 3-4, 2층 (거여동)",
체육도장업,용인대 코리아 태권도,"서울특별시 송파구 오금로35길 17 (오금동, 현대아파트)",409-0914
체육도장업,용인대파란태권도,"서울특별시 송파구 중대로 24 (문정동, 올림픽훼밀리타운)",3012-7373
체육도장업,강인태권도체육관,"서울특별시 송파구 마천로15길 2, 3층 (오금동)",3401-6943
체육도장업,용인대월드태권도장,"서울특별시 송파구 양산로4길 9, 3층 (거여동)",409-6444
체육도장업,성 현무태권도,"서울특별시 송파구 삼학사로19길 28 (삼전동, 캔쇼빌딩)",419-3199
체육도장업,삼전원도체육관,"서울특별시 송파구 백제고분로 231, 3층 (삼전동)",
체육도장업,한체대원도,서울특별시 송파구 석촌호수로 135 (잠실동),02-2174-1919
체육도장업,송파동아권투체육관,"서울특별시 송파구 오금로46길 3, 3층 (가락동)",449-6117
체육도장업,스타복싱 체육관,서울특별시 송파구 백제고분로 135 (잠실동),
체육도장업,중앙유도,서울특별시 송파구 백제고분로 144 (잠실동),408-8081
체육도장업,원도태권도,"서울특별시 송파구 백제고분로48길 44 (방이동, 동보빌딩)",
체육도장업,경찰태권도 & 파워점핑,"서울특별시 송파구 오금로40길 40, 지하1층, 지상2층 (가락동)",
체육도장업,JS아이사랑태권도장,서울특별시 송파구 석촌호수로 82 (잠실동),
체육도장업,개롱효태권도장,"서울특별시 송파구 문정로 197, 지하1층 (오금동)",2043-1888
체육도장업,용인대백호태권도장,"서울특별시 송파구 동남로18길 35, 2층 (가락동)",430-1126
체육도장업,힘찬태권도,서울특별시 송파구 충민로2길 26 (장지동),430-9109
체육도장업,백제검도관,"서울특별시 송파구 오금로31길 22, 4층 (방이동)",
체육도장업,충무태권도,서울특별시 송파구 마천로45길 8 (마천동),406-9030
체육도장업,태비태권도 삼전체육관,"서울특별시 송파구 백제고분로 231, 3층 (삼전동)",423-2446
체육도장업,한국체대 태권도 잠실 체육관,"서울특별시 송파구 올림픽로 435, 5층 (신천동)",414-8530
체육도장업,KTI한울태권도,서울특별시 송파구 문정로 55 (문정동),2043-1232
체육도장업,연세월드태권도,서울특별시 송파구 백제고분로40길 14 (석촌동),424-6273
체육도장업,경희대 태권도 교육관,"서울특별시 송파구 올림픽로35길 10, 4층 412호 (신천동, 파크리오)",
체육도장업,540태권도장,서울특별시 송파구 올림픽로 119 (잠실동),417-3367
체육도장업,경희대 잠현 태권도,"서울특별시 송파구 올림픽로 435, A동 5층 512호 (신천동)",
체육도장업,서울시 대표 태권도,"서울특별시 송파구 백제고분로44길 3 (송파동, 비봉실업)",02-3432-7989
체육도장업,용인대그린체육관,"서울특별시 송파구 석촌호수로 61 (잠실동, 트리지움)",
체육도장업,최정규 체육관,"서울특별시 송파구 백제고분로 453, 지하1층 (방이동)",
체육도장업,무 검도관,"서울특별시 송파구 오금로64길 3, 지하1층 (거여동)",
체육도장업,해동검도도장,서울특별시 송파구 중대로 245 (오금동),
체육도장업,송파 화이트타이거 태권도,"서울특별시 송파구 가락로28길 9, 3층 (송파동)",
체육도장업,석촌경희대태권스쿨스포츠클럽,서울특별시 송파구 가락로 82-401 (석촌동),
체육도장업,리더어린이스포츠클럽,"서울특별시 송파구 석촌호수로 61 (잠실동, 트리지움)",
체육도장업,커브스 잠실클럽,서울특별시 송파구 올림픽로12길 23 (잠실동),02-415-3070
체육도장업,잠실복싱클럽,"서울특별시 송파구 백제고분로22길 3, 3층 (삼전동)",
체육도장업,아성태권도,서울특별시 송파구 백제고분로12길 11 (잠실동),
체육도장업,아름찬코리아,"서울특별시 송파구 백제고분로36길 2-1, 4층 (석촌동)",
체육도장업,아이킹스태권도,서울특별시 송파구 동남로 198 (가락동),
체육도장업,문정검도관,"서울특별시 송파구 문정로 11, 지하1층 (문정동)",
체육도장업,A탑 복싱 체육관,서울특별시 송파구 백제고분로 245 (삼전동),419-5368
체육도장업,골든킥태권도,"서울특별시 송파구 새말로 136, 2층 (문정동)",400-8777
체육도장업,륜태권도장송파점,서울특별시 송파구 마천로 184 (오금동),
체육도장업,용인대태권쏭아카데미(태권도장),"서울특별시 송파구 올림픽로 145, 리센츠 4층 (잠실동)",02-417-3367
체육도장업,선시검도관,서울특별시 송파구 백제고분로45길 34 (송파동),
체육도장업,티앤티태권도장,"서울특별시 송파구 올림픽로 145, 5층 (잠실동)",424-1707
체육도장업,신천스타복싱,"서울특별시 송파구 올림픽로12길 21, 4층 (잠실동)",425-4002
체육도장업,이종석복싱클럽,"서울특별시 송파구 새말로 100 (문정동, 해승빌딩)",
체육도장업,하나복싱클럽,서울특별시 송파구 백제고분로17길 54 (잠실동),
체육도장업,백호타이거즈태권도,서울특별시 송파구 충민로2길 28 (장지동),400-5494
체육도장업,경희무술스쿨,"서울특별시 송파구 올림픽로35길 112 (신천동, 장미아파트 비상가)",
체육도장업,잠실복싱클럽2호점,서울특별시 송파구 송파대로 286 (가락동),417-8224
체육도장업,한미 태권도,"서울특별시 송파구 오금로57길 3-4, 2층 (거여동)",
체육도장업,용인대토성태권도장,서울특별시 송파구 토성로 21 (풍납동),
체육도장업,용인대 탑 복싱,서울특별시 송파구 올림픽로35길 94 (신천동),
체육도장업,에이스 유도체육관,"서울특별시 송파구 오금로 195, 대원빌딩 4층 (방이동)",
체육도장업,마천복싱클럽,"서울특별시 송파구 성내천로 142, 3층 (거여동)",
체육도장업,서울Y유도 체육관,"서울특별시 송파구 동남로 215, 지하1층 (가락동)",
체육도장업,복싱바이러스2,"서울특별시 송파구 백제고분로48길 10, 지하1층 (방이동)",02-6097-1282
체육도장업,열린복싱클럽,"서울특별시 송파구 마천로 61, 4층 (오금동)",02-404-1330
체육도장업,퍼스트 태권도장,서울특별시 송파구 위례광장로 199 (장지동),
체육도장업,최정규종합체육관,서울특별시 송파구 백제고분로 468-1 (방이동),02-424-7989
체육도장업,선비태권도,"서울특별시 송파구 충민로2길 28, 4층 (장지동)",
체육도장업,바른자세 권성세 유도관,서울특별시 송파구 오금로 485 (거여동),
체육도장업,더 나인짐,"서울특별시 송파구 백제고분로46길 43, 오성빌딩 2층 (송파동)",
체육도장업,나르샤 태권도,"서울특별시 송파구 마천로57길 12, 2층 (마천동)",02-400-1641
체육도장업,골든킥 키즈 짐,서울특별시 송파구 새말로 134 (문정동),3401-8777
체육도장업,광호체육관,"서울특별시 송파구 마천로41길 32, 지하층 (마천동)",02-448-8268
체육도장업,풍납검도관,"서울특별시 송파구 토성로 40, 지하1층 (풍납동)",
체육도장업,피스트짐,"서울특별시 송파구 석촌호수로 188, 지하층 B205,206호 (석촌동, 신동아로쟌뷰)",
체육도장업,잠실복싱다이어트,"서울특별시 송파구 백제고분로 173, 조양빌딩 (잠실동)",
체육도장업,STG,"서울특별시 송파구 올림픽로 119, 3층 3B01,3B02호 (잠실동, 잠실파인애플상가)",
체육도장업,화이트타이거 태권도장,"서울특별시 송파구 가락로36길 7, 2층 (방이동)",02-416-7277
체육도장업,선비태권도,"서울특별시 송파구 위례광장로 188 (장지동, 아이온스퀘어)",
체육도장업,드림유도체육관,"서울특별시 송파구 새말로 152-1, 2층 (문정동, 인성캐터링)",
체육도장업,정진체육관,"서울특별시 송파구 거마로 47 (거여동, 거목빌딩)",
체육도장업,바오짐,"서울특별시 송파구 동남로 105 (가락동, 덕암빌딩)",
체육도장업,PUNCH FACTORY,서울특별시 송파구 정의로8길 13 (문정동),
체육도장업,한국유도원,"서울특별시 송파구 위례성대로12길 13, 현재어학원 (방이동)",02-782-0978
체육도장업,에스 Fit academy,"서울특별시 송파구 새말로8길 28, 지하1층 (문정동)",02-407-1365
체육도장업,이순신 체육관,"서울특별시 송파구 가락로 95, 영진빌딩 3층 (석촌동)",02-419-4431
체육도장업,송파복싱클럽,"서울특별시 송파구 송파대로38길 5, 4층 (송파동)",02-422-1282
체육도장업,용인대 헬리오 태권도,"서울특별시 송파구 송파대로37길 70, 203호 (석촌동)",
체육도장업,헬리오 퍼스트 태권도,"서울특별시 송파구 송파대로 345, A동 3층 43, 44, 46호 (가락동, 헬리오시티)",
체육도장업,김일권 챔프복싱,"서울특별시 송파구 가락로 114, 신우빌딩 지하1층 (석촌동)",24234318
체육도장업,잠실레벨업복싱,"서울특별시 송파구 석촌호수로 138, 3층 302호 (삼전동)",1073321832
체육도장업,한미태권도,"서울특별시 송파구 오금로31길 22, 석도빌딩 3층 (방이동)",
체육도장업,Booster9(부스터9),서울특별시 송파구 마천로 13 (방이동),02-2203-9954
체육도장업,펀 태권도장,"서울특별시 송파구 위례순환로 478, 센트라포레 5층 504~507호 (장지동)",
체육도장업,골드 레슬링 클럽,"서울특별시 송파구 백제고분로40길 4, 옥당빌딩 지하1층 (석촌동)",
체육도장업,파이트핏,"서울특별시 송파구 백제고분로42길 14, 지하층 (송파동)",
체육도장업,백호 합기도 본관,"서울특별시 송파구 양산로 12, 세신거여훼미리타운 3층 311호~314호,320호~322호 (거여동)",
체육도장업,코너짐,"서울특별시 송파구 올림픽로 119, 잠실파인애플상가 3층 3B07호 (잠실동)",
체육도장업,화랑 합기도 특공무술,"서울특별시 송파구 백제고분로 332, 3층 (석촌동)",
체육도장업,백호합기도3관,"서울특별시 송파구 거마로 62, 효명빌딩 5층 (마천동)",
체육도장업,백호 합기도 1관,"서울특별시 송파구 성내천로 77, 옥천빌딩 2층 (오금동)",
체육도장업,진중관 정무 합기도,"서울특별시 송파구 새말로 144, 그린빌딩 2층 (문정동)",
체육도장업,원투복싱체육관,"서울특별시 송파구 마천로 263, 3층 (마천동)",
체육도장업,힛더짐 2호점,"서울특별시 송파구 백제고분로40길 4, 옥당빌딩 지하 1층 (석촌동)",
체육도장업,품다태권도장,"서울특별시 송파구 중대로20길 16, 2층 (가락동)",
체육도장업,힛더짐 3호점,"서울특별시 송파구 위례성대로20길 33, 삼광빌딩 지하1층 (오금동)",
체육도장업,ICT 태권도,"서울특별시 송파구 송이로14길 3, 2층 (가락동)",
체육도장업,권창재복싱클럽,"서울특별시 송파구 오금로 540, 윤정빌딩 4층 (거여동)",02-429-4037
볼링장,대한볼링협회볼링경기장,,
볼링장,신진볼링장,,404-7449
골프연습장업,동주(실외),서울특별시 송파구 오금로11길 44 (방이동),422-3456
골프연습장업,롯데호텔 골프연습장,서울특별시 송파구 올림픽로 240 (잠실동),419-7000
골프연습장업,G골프스튜디오,서울특별시 송파구 오금로31길 19 (방이동),
골프연습장업,잠실골프연습장(실외),서울특별시 송파구 백제고분로11길 10 (잠실동),424-2431
골프연습장업,건영골프연습장,서울특별시 송파구 새말로8길 14 (문정동),
골프연습장업,실내골프연습장,서울특별시 송파구 올림픽로 25 (잠실동),
골프연습장업,그린골프연습장,서울특별시 송파구 백제고분로 262 (삼전동),
골프연습장업,포시즌스크린골프,"서울특별시 송파구 오금로 204, 지하1층 (송파동)",418-5022
골프연습장업,아넥스골프스쿨(실외),서울특별시 송파구 오금로19길 5 (방이동),420-0606
골프연습장업,뉴원골프스쿨,서울특별시 송파구 올림픽로 505 (풍납동),477-6441
골프연습장업,산성골프연습장,서울특별시 송파구 거마로 13 (거여동),408-8554
골프연습장업,온그린골프아카데미,"서울특별시 송파구 올림픽로4길 32 (잠실동, 꿈밭유치원)",421-7254
골프연습장업,가락골프아카데미,서울특별시 송파구 동남로 165 (가락동),443-6093
골프연습장업,김프로 골프존 아카데미,"서울특별시 송파구 가락로 205 (송파동, 송림빌딩)",424-8884
골프연습장업,이글골프스쿨,"서울특별시 송파구 마천로8길 1, 지하1층 (오금동)",406-2898
골프연습장업,올림픽골프교실,서울특별시 송파구 올림픽로 424 (방이동),410-1626
골프연습장업,맥스골프스쿨,"서울특별시 송파구 양산로 14 (거여동, 세신거여종합상가)",409-5430
골프연습장업,한양골프크리닉스쿨,서울특별시 송파구 위례성대로 184 (오금동),430-5816
골프연습장업,현대골프스쿨,서울특별시 송파구 석촌호수로 134 (삼전동),
골프연습장업,오륜골프스쿨,"서울특별시 송파구 마천로 79, 지하1층 (오금동)",407-4992
골프연습장업,황제골프클럽,"서울특별시 송파구 성내천로6길 1, 지하1층 (오금동)",430-2098
골프연습장업,그린골프연습장,서울특별시 송파구 마천로41길 27 (마천동),406-6667
골프연습장업,코레스코골프클럽,"서울특별시 송파구 위례성대로 180, 지하1층 (오금동)",406-6464
골프연습장업,한성기업(주)르네상스 휘트니스 클럽,서울특별시 송파구 오금로 307 (오금동),
골프연습장업,비전골프연습장,서울특별시 송파구 삼전로2길 1 (삼전동),423-3935
골프연습장업,골프사랑,"서울특별시 송파구 위례성대로18길 32, 지하1층 (방이동)",417-4550
골프연습장업,마스타골프연습장,서울특별시 송파구 동남로 286 (오금동),449-1463
골프연습장업,에이스골프연습장,"서울특별시 송파구 오금로31길 27, 지하1층 (방이동)",415-0178
골프연습장업,스마트골프아카데미,서울특별시 송파구 마천로 76 (오금동),408-5838
골프연습장업,골프아이 맞춤골프피팅센터,"서울특별시 송파구 올림픽로 525, 지하1층 (풍납동)",483-2237
골프연습장업,이글골프연습장,"서울특별시 송파구 오금로36길 63, 지하1층 (가락동)",3401-1247
골프연습장업,청솔골프클리닉,"서울특별시 송파구 백제고분로 237, 지하1층 (삼전동)",3432-3823
골프연습장업,"골프아카데미""We""",서울특별시 송파구 가락로 236 (방이동),413-8236
골프연습장업,이글골프아카데미,서울특별시 송파구 강동대로7길 3 (풍납동),484-8141
골프연습장업,짐퍼스트 휘트니스,"서울특별시 송파구 토성로 78 (풍납동, 정민빌딩)",488-4002
골프연습장업,현골프아카데미,"서울특별시 송파구 오금로31길 11, 지하1층 (방이동)",
골프연습장업,겟인더홀,"서울특별시 송파구 동남로18길 40, 지하1층 (가락동)",
골프연습장업,버디스크린골프존,"서울특별시 송파구 위례성대로 158, 지하1층 (오금동)",400-6680
골프연습장업,로드훠(그린연습장),"서울특별시 송파구 백제고분로 196, 지하1층 (삼전동)",415-0707
골프연습장업,다담 GOLF Lounge,"서울특별시 송파구 마천로 251, 지하1층 (마천동)",407-7083
골프연습장업,에이원골프아카데미,"서울특별시 송파구 새말로8길 14, 지하1층 (문정동)",
골프연습장업,SBS골프아카데미,"서울특별시 송파구 동남로 272, 지하1층 (오금동)",431-1100
골프연습장업,극동골프,서울특별시 송파구 동남로18길 9 (가락동),403-0753
골프연습장업,JJ스크린골프존,"서울특별시 송파구 오금로 526, 3층 (거여동)",407-0216
골프연습장업,삼성골프스쿨,"서울특별시 송파구 새말로8길 9, 지하1층 (문정동)",
골프연습장업,공원골프연습장(실외),"서울특별시 송파구 백제고분로 503, 6층 (방이동)","422-4805,6"
골프연습장업,나이스골프연습장,"서울특별시 송파구 송파대로38길 5, 지하1층 (송파동)",412-7764
골프연습장업,한길골프스쿨,"서울특별시 송파구 올림픽로 366, 지하2층 (방이동)",421-0777
골프연습장업,오클랜드골프아카데미,"서울특별시 송파구 석촌호수로 160, 지하1층 (삼전동)",2203-2124
골프연습장업,마크짐,"서울특별시 송파구 오금로 111 (방이동, 세기빌딩)",412-6627
골프연습장업,준스크린골프 아카데미,"서울특별시 송파구 송파대로30길 39, 지하1층 B01호 (가락동, 종원빌딩)",
골프연습장업,방이스크린골프,"서울특별시 송파구 위례성대로 48, 지하1층 (방이동)",
골프연습장업,골프다이제스트아카데미,"서울특별시 송파구 중대로 60-6, 지하1층 (문정동)",431-1887
골프연습장업,F.m골프아카데미,"서울특별시 송파구 동남로4길 12, 지하1층 (문정동)",400-0751
골프연습장업,B.S인토스크린골프아카데미,"서울특별시 송파구 송이로 88, 지하1층 (가락동)",400-0875
골프연습장업,(주)옵티멈(실내외),"서울특별시 송파구 올림픽로35가길 16 (신천동, 송파 FUN STADIUM)",2240-4600
골프연습장업,US Golf 스쿨,"서울특별시 송파구 양산로 11, 2층 (거여동)",
골프연습장업,(주)인어스휘트니스 잠실점,"서울특별시 송파구 올림픽로 74, 지하2층 (잠실동)",
골프연습장업,A-Top골프,서울특별시 송파구 동남로18길 45 (가락동),
골프연습장업,로얄 스크린골프,"서울특별시 송파구 석촌호수로 130, 지하1층 (삼전동)",420-7974
골프연습장업,우주 스크린골프,"서울특별시 송파구 석촌호수로 92, 지하1층 (잠실동)",424-6118
골프연습장업,King's 스크린골프,"서울특별시 송파구 마천로7길 6, 지하1층 (오금동)",402-0753
골프연습장업,올림픽 스크린골프,"서울특별시 송파구 중대로 306, 지하1층 (오금동)",409-1037
골프연습장업,올림픽 골프존,"서울특별시 송파구 중대로 317, 지하1층 (오금동)",448-0755
골프연습장업,골프존 포미나 로코코,"서울특별시 송파구 백제고분로 75, 지하2층 (잠실동)",6471-9017
골프연습장업,레미안스크린골프,"서울특별시 송파구 송이로 194 (문정동, 레미안빌딩)",402-4473
골프연습장업,골프존 송파스크린,서울특별시 송파구 백제고분로19길 4 (잠실동),2202-7020
골프연습장업,송파 골프연습장,"서울특별시 송파구 가락로28길 15, 지하1층 (송파동)",408-4600
골프연습장업,제이디골프,"서울특별시 송파구 도곡로 454 (잠실동, 정도빌딩)",425-0905
골프연습장업,로얄스크린골프,"서울특별시 송파구 백제고분로 446, 지하1층 (방이동)",538-1585
골프연습장업,문스크린골프존,"서울특별시 송파구 송파대로27길 30, 3층 (문정동)",2043-5661
골프연습장업,스타리버 유스포츠,"서울특별시 송파구 올림픽로35길 93 (신천동, 더샵스타리버)",
골프연습장업,상떼스크린골프,"서울특별시 송파구 송파대로28길 27, 지하1층 (가락동)",401-0770
골프연습장업,래미안스크린골프,"서울특별시 송파구 동남로 227, 지하1층 (가락동)","404-7757,8"
골프연습장업,스타칼리 휘트니스,"서울특별시 송파구 오금로 306, 지하1층 (가락동)",425-6555
골프연습장업,가윤스크린골프,"서울특별시 송파구 송이로 157 (가락동, 가윤웨딩뷔페)",409-5700
골프연습장업,FEEL 스크린골프,"서울특별시 송파구 가락로 183, 1층 (송파동)",
골프연습장업,신천 스크린골프,"서울특별시 송파구 백제고분로17길 56, 지하1층 (잠실동)",413-0753
골프연습장업,알파고 골프존 방이점,"서울특별시 송파구 오금로11길 33, 2층 (방이동)",425-0768
골프연습장업,엠파이어 휘트니스,서울특별시 송파구 석촌호수로 93 (잠실동),
골프연습장업,골프존 평화의문 스크린골프,"서울특별시 송파구 올림픽로 374, 지하1층 (방이동)",421-8807
골프연습장업,J 스크린골프존,"서울특별시 송파구 올림픽로 203, 지하1층 (잠실동)",
골프연습장업,Y골프아카데미,서울특별시 송파구 백제고분로 139 (잠실동),
골프연습장업,TK 휘트니스 앤 컴퍼니,"서울특별시 송파구 송파대로28길 13 (가락동, 거북이빌딩)",
골프연습장업,원탑스크린골프,"서울특별시 송파구 문정로 259, 지하1층 (오금동)",
골프연습장업,NC 골프연습장,"서울특별시 송파구 새말로8길 20, 지하2층 (문정동)",
골프연습장업,에스비 짐,"서울특별시 송파구 중대로 135 (가락동, 아이티벤처타워)",
