변환,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
"2016/01","104","105","105","106","104","101","100","103","111","106","108","109","104","102","99","104","105"
"2016/02","104","101","103","106","104","101","98","102","110","104","107","107","102","101","101","104","103"
"2016/03","104","102","104","105","105","101","96","103","109","103","108","107","102","106","98","102","106"
"2016/04","102","106","103","106","103","101","97","101","111","103","105","106","101","105","100","102","106"
"2016/05","104","104","106","107","103","99","97","104","107","103","108","105","104","106","99","103","106"
"2016/06","105","103","107","107","102","102","98","103","109","107","108","106","106","101","100","103","108"
"2016/07","104","108","107","107","106","97","98","104","111","102","109","108","105","102","102","103","108"
"2016/08","103","110","106","109","103","99","98","103","110","104","108","107","104","104","101","103","108"
"2016/09","105","106","108","107","106","99","99","103","113","108","109","107","103","102","105","104","109"
"2016/10","106","104","109","108","104","100","99","104","112","104","110","109","106","102","102","104","109"
"2016/11","107","104","110","109","106","99","99","106","112","103","107","110","107","106","103","106","107"
"2016/12","103","104","105","106","104","99","97","102","109","102","109","106","105","101","98","103","104"
"2017/01","103","104","103","106","105","99","101","102","110","104","110","105","104","99","101","103","104"
"2017/02","103","105","103","104","105","101","99","101","112","106","108","106","105","99","100","103","103"
"2017/03","102","106","104","105","103","100","97","101","110","99","109","107","105","101","97","102","105"
"2017/04","101","108","104","103","103","99","99","101","106","105","110","108","104","102","94","101","105"
"2017/05","101","111","107","103","101","99","100","102","105","102","109","109","105","101","96","101","107"
"2017/06","102","111","106","106","104","97","98","103","108","96","107","110","107","100","97","102","107"
"2017/07","102","109","106","104","103","100","99","102","106","101","109","109","105","102","96","102","107"
"2017/08","102","108","107","102","102","100","98","102","106","99","111","106","104","102","97","101","107"
"2017/09","102","108","105","105","102","98","97","101","107","103","107","106","108","99","97","102","104"
"2017/10","102","106","104","104","103","99","101","101","106","107","111","104","103","99","99","103","103"
"2017/11","102","108","104","107","103","97","100","101","110","106","109","105","105","100","99","103","104"
"2017/12","102","106","102","106","104","100","99","102","107","104","109","108","105","98","97","102","105"
"2018/01","102","105","100","106","103","100","98","101","104","103","107","107","105","99","97","101","105"
"2018/02","103","101","101","106","102","100","98","101","105","105","108","108","103","100","96","102","103"
"2018/03","101","107","104","105","101","100","97","101","108","104","106","109","106","96","96","100","107"
"2018/04","101","104","99","105","101","101","99","99","107","104","105","110","102","94","96","99","105"
"2018/05","101","104","102","104","102","100","100","100","108","104","107","109","100","100","97","100","105"
"2018/06","103","103","104","105","104","101","100","103","105","108","103","107","107","101","99","101","109"
"2018/07","103","102","102","106","103","99","99","101","106","109","104","105","104","101","99","101","106"
"2018/08","104","104","106","105","105","102","98","102","109","107","109","106","104","105","100","102","109"
"2018/09","102","102","103","103","101","100","102","101","102","105","102","105","106","102","96","100","105"
"2018/10","102","100","101","101","103","102","101","100","105","104","105","103","107","101","96","100","106"
"2018/11","102","100","102","101","104","100","100","102","103","103","101","104","103","102","100","100","105"
"2018/12","102","103","101","104","105","99","98","102","103","102","104","101","106","101","100","101","104"
"2019/01","102","101","104","103","102","101","97","102","103","97","106","106","102","102","99","100","106"
"2019/02","102","100","101","104","103","99","99","101","105","99","101","105","106","102","97","101","103"
"2019/03","102","101","102","102","102","103","100","101","106","98","101","107","104","103","99","101","104"
"2019/04","101","100","101","102","101","99","100","100","105","102","100","104","103","99","98","99","104"
"2019/05","101","100","101","102","100","100","102","100","105","101","104","105","104","98","97","99","104"
"2019/06","100","99","100","101","100","99","102","99","105","98","104","105","104","99","94","99","102"
"2019/07","100","100","101","99","100","100","102","99","105","98","104","105","101","100","96","99","102"
"2019/08","100","101","101","100","100","100","99","100","102","100","103","103","103","99","96","98","104"
"2019/09","100","100","100","99","102","100","100","100","104","101","101","103","102","99","98","100","102"
"2019/10","101","100","101","100","101","99","100","100","102","105","101","102","104","100","97","100","102"
"2019/11","100","102","102","100","99","101","99","101","100","102","102","100","102","100","98","100","100"
"2019/12","101","102","102","102","102","99","101","101","104","105","103","102","104","100","99","101","102"
"2020/01","101","100","100","101","100","100","102","99","104","98","105","105","101","100","97","100","101"
"2020/02","99","100","99","100","100","98","99","99","103","100","100","103","104","98","95","99","100"
"2020/03","100","101","99","100","100","99","103","98","108","100","101","107","104","95","96","100","100"
"2020/04","104","104","103","104","106","102","104","102","112","104","108","108","107","100","100","103","106"
"2020/05","102","102","102","100","105","102","101","100","110","105","104","107","104","98","99","101","104"
"2020/06","102","100","102","100","104","102","100","99","111","106","103","106","105","99","98","101","104"
"2020/07","102","102","101","101","103","102","100","100","109","101","105","108","103","101","96","100","104"
"2020/08","101","101","102","99","103","100","101","99","107","107","101","104","103","101","97","99","104"
"2020/09","104","101","104","101","105","103","103","101","112","105","107","107","105","99","100","102","106"
"2020/10","102","103","103","101","104","101","102","100","112","108","104","103","108","98","100","101","105"
"2020/11","102","102","103","102","102","100","104","100","109","107","105","104","105","100","100","102","103"
"2020/12","102","105","104","103","103","103","102","101","110","104","106","105","107","100","99","102","105"
"2021/01","103","104","105","103","101","102","103","102","109","106","104","107","107","99","100","102","104"
"2021/02","102","103","101","103","103","102","103","100","110","104","105","106","104","101","99","101","104"
"2021/03","103","105","105","104","102","101","105","102","110","106","107","105","105","101","102","102","106"
"2021/04","103","105","102","103","102","102","106","101","111","110","105","108","105","102","98","103","104"
"2021/05","102","106","104","103","102","101","102","101","108","108","107","106","102","103","99","101","105"
"2021/06","102","103","101","102","102","101","102","100","108","108","105","104","107","101","97","101","103"
"2021/07","102","106","105","103","101","102","102","101","109","114","105","108","105","99","98","101","105"
"2021/08","101","106","107","101","100","100","103","101","106","109","104","106","103","105","98","100","107"
"2021/09","101","104","107","101","99","100","101","101","106","108","102","104","105","102","99","100","106"
"2021/10","102","105","106","102","102","100","104","102","107","113","105","104","106","103","99","101","107"
"2021/11","102","103","102","103","102","100","103","101","107","109","103","104","104","102","99","101","104"
"2021/12","101","107","104","104","101","102","103","100","108","111","108","105","104","101","98","101","105"
"2022/01","101","103","101","102","101","101","102","99","107","112","106","102","104","100","96","100","105"
"2022/02","100","104","102","101","100","100","104","99","108","114","104","104","104","102","95","101","102"
"2022/03","101","103","101","101","102","102","103","100","108","111","107","107","101","101","97","100","105"
"2022/04","101","103","101","100","102","101","104","99","108","113","108","104","105","100","96","100","104"
"2022/05","102","102","100","103","102","102","103","100","107","110","105","106","106","103","95","101","104"
"2022/06","102","105","102","103","102","101","104","100","107","111","108","108","106","100","97","101","106"
"2022/07","101","104","105","101","104","99","98","102","103","98","104","104","103","105","100","100","106"
"2022/08","102","103","102","102","102","102","103","101","105","101","106","106","106","99","99","100","105"
"2022/09","102","104","105","101","104","99","99","102","105","101","99","106","106","101","100","100","106"
"2022/10","104","103","104","106","102","103","103","103","108","105","101","107","107","102","101","102","106"
"2022/11","103","105","105","107","103","100","102","103","108","103","105","104","109","103","101","102","106"
"2022/12","102","105","103","107","101","99","100","102","106","107","101","101","107","102","101","100","106"