변환,원자료,원자료
"2016/Q1","3.68","3.33"
"2016/Q2","3.60","3.27"
"2016/Q3","3.49","3.18"
"2016/Q4","3.53","3.18"
"2017/Q1","3.55","3.22"
"2017/Q2","3.53","3.24"
"2017/Q3","3.53","3.27"
"2017/Q4","3.62","3.35"
"2018/Q1","3.71","3.46"
"2018/Q2","3.74","3.54"
"2018/Q3","3.75","3.57"
"2018/Q4","3.81","3.62"
"2019/Q1","3.82","3.65"
"2019/Q2","3.75","3.60"
"2019/Q3","3.56","3.45"
"2019/Q4","3.46","3.34"
"2020/Q1","3.32","3.24"
"2020/Q2","3.04","3.06"
"2020/Q3","2.88","2.87"
"2020/Q4","2.83","2.77"
"2021/Q1","2.84","2.76"
"2021/Q2","2.79","2.74"
"2021/Q3","2.86","2.81"
"2021/Q4","3.07","3.01"
"2022/Q1","3.30","3.25"
"2022/Q2","3.62","3.52"
"2022/Q3","4.24","3.98"
"2022/Q4","5.13","4.66"